Trade Date,Arca,Amex,Consolidated
20250122,"6,221.7","3,099.7","47,650.9"
20250121,"6,427.8","2,940.3","50,676.0"
20250117,"7,873.9","5,005.1","64,019.9"
20250116,"6,193.3","3,216.7","52,592.2"
20250115,"6,989.1","4,111.3","54,931.0"
20250114,"6,572.6","4,020.8","48,359.3"
20250113,"6,517.7","3,627.9","48,820.1"
20250110,"8,272.5","3,600.6","62,097.2"
20250108,"6,693.8","3,672.4","52,099.9"
20250107,"7,191.2","3,960.3","53,350.4"
20250106,"7,353.7","3,528.0","56,206.6"
20250103,"6,794.2","3,126.9","52,979.9"
20250102,"6,839.7","2,488.9","47,368.7"
20241231,"4,919.7","2,278.0","37,594.6"
20241230,"5,571.4","2,663.6","42,357.0"
20241227,"6,257.7","2,971.2","49,037.4"
20241226,"4,672.2","2,720.1","38,936.4"
20241224,"3,652.1","1,780.0","28,729.0"
20241223,"5,611.1","2,802.5","43,147.6"
20241220,"7,960.6","4,101.4","65,986.2"
20241219,"7,469.0","3,601.6","61,630.0"
20241218,"8,175.2","4,063.7","62,013.4"
20241217,"5,977.2","3,715.6","46,100.2"
20241216,"6,244.0","3,027.0","54,843.2"
20241213,"6,937.0","3,395.6","56,011.7"
20241212,"5,362.7","3,250.2","46,798.8"
20241211,"5,817.2","3,288.4","48,795.4"
20241210,"5,702.8","2,624.8","46,067.4"
20241209,"6,557.8","2,941.4","52,633.9"
20241206,"6,609.6","3,387.5","52,993.9"
20241205,"5,962.6","3,284.0","49,191.7"
20241204,"5,830.6","2,956.6","46,156.2"
20241203,"4,810.5","2,582.9","38,620.0"
20241202,"5,620.3","2,539.2","44,327.9"
20241129,"3,998.1","2,060.0","37,017.5"
20241127,"5,131.1","3,083.6","43,855.6"
20241126,"5,832.0","2,926.5","44,834.0"
20241125,"6,636.9","3,592.0","53,631.6"
20241122,"7,164.2","2,818.5","55,792.6"
20241121,"7,444.4","2,761.5","55,542.1"
20241120,"5,667.2","2,556.3","42,348.5"
20241119,"5,759.6","2,409.3","42,649.5"
20241118,"6,022.0","2,471.9","43,776.9"
20241115,"8,423.9","4,054.0","64,465.5"
20241114,"7,010.6","3,529.0","56,814.6"
20241113,"6,886.9","3,508.4","52,527.7"
20241112,"7,185.7","4,112.9","52,439.6"
20241111,"7,257.4","2,991.9","52,964.6"
20241108,"8,275.5","3,623.0","58,890.6"
20241107,"7,720.2","3,350.2","60,063.0"
20241106,"8,928.8","3,759.5","63,288.0"
20241105,"5,950.4","2,756.9","42,047.2"
20241104,"5,593.6","2,186.4","38,853.5"
20241101,"6,728.7","3,024.9","49,138.7"
20241031,"7,287.6","2,323.0","54,474.4"
20241030,"6,463.7","2,552.3","44,338.6"
20241029,"5,475.5","2,348.5","39,626.7"
20241028,"4,645.2","2,121.5","37,985.2"
20241025,"6,347.1","2,723.5","50,324.2"
20241024,"5,387.7","2,408.7","42,272.5"
20241023,"5,841.3","2,618.4","45,349.6"
20241022,"4,461.7","2,735.0","37,671.8"
20241021,"4,771.9","2,732.4","39,330.3"
20241018,"5,716.2","3,468.1","47,704.1"
20241017,"5,419.3","3,156.0","45,705.3"
20241016,"4,994.7","3,174.9","41,178.0"
20241015,"6,669.4","3,317.7","49,800.3"
20241014,"5,128.9","2,850.1","39,920.3"
20241011,"6,026.6","2,849.0","49,081.7"
20241010,"4,588.9","2,364.5","42,228.9"
20241009,"4,933.4","2,936.6","42,350.6"
20241008,"5,059.0","2,311.0","41,504.7"
20241007,"5,312.4","3,399.7","45,068.5"
20241004,"6,520.7","2,776.4","51,395.6"
20241003,"5,196.4","2,100.7","41,614.4"
20241002,"5,480.8","2,974.5","42,465.3"
20241001,"6,188.8","3,537.6","48,004.8"
20240930,"6,282.8","2,897.9","42,046.1"
20240927,"6,774.8","3,939.9","49,273.5"
20240926,"7,803.1","4,144.1","51,926.4"
